Letter,Product Name,Link,Description
A,ABAP,https://www.sap.com/uk/products/technology-platform/abap/environment.html,SAP BTP ABAP environment is the Platform-as-a-Service for ABAP developers. A cloud-optimised ABAP platform based on SAP HANA serves as a development and runtime environment for cloud apps utilising the service framework of SAP Business Technology Platform.
A,ABAP environments,https://www.sap.com/uk/products/technology-platform/abap.html,SAP BTP ABAP environment is the Platform-as-a-Service for ABAP developers. A cloud-optimised ABAP platform based on SAP HANA serves as a development and runtime environment for cloud apps utilising the service framework of SAP Business Technology Platform.
A,Advanced Event Mesh,https://www.sap.com/uk/products/technology-platform/integration-suite/advanced-event-mesh.html,Adopt scalable event-driven process integration patterns and support peak loads across environments.
A,AI Foundation,https://www.sap.com/uk/products/artificial-intelligence/ai-foundation-os.html,Accelerate AI-driven innovation with SAP's foundational AI operating system. Build and extend AI solutions or run and orchestrate business AI workload at scale.
A,Career and Talent Development,https://www.sap.com/uk/products/hcm/career-talent-development.html,Talent development transforms organisations by upskilling employees to boost productivity. Explore career pathing and AI talent tools for internal mobility.
A,Guided buying,https://www.sap.com/uk/products/spend-management/procure-to-pay/features/guided-buying.html,See how the guided buying capability from SAP offers a simple way to buy from preferred suppliers while complying with procurement processes and policies.
A,Identity and Access Management,https://www.sap.com/uk/products/financial-management/identity-management.html,"Manage user identities, control access, and unify authentication seamlessly across cloud and hybrid systems with SAP identity and access management solutions."
A,Joule,https://www.sap.com/uk/products/artificial-intelligence/ai-assistant.html,"Joule is an AI solution that helps teams act with clarity and collaborate without silos. With AI agents for all core functions, powered by SAP business process expertise, your AI strategy scales faster and wider."
A,Joule Agents,https://www.sap.com/uk/products/artificial-intelligence/ai-agents.html,Discover how to drive productivity at enterprise scale with Joule Agents—ready-to-use AI agents that automate complex workflows with trusted SAP intelligence.
A,Joule for developers,https://www.sap.com/uk/products/artificial-intelligence/joule-for-developers.html,SAP Joule for Developers helps developers supercharge application development and automation with AI capabilities in SAP Build.
A,Joule Studio,https://www.sap.com/uk/products/artificial-intelligence/joule-studio.html,"Build, deploy, and manage AI agents and Joule skills intuitively with drag-and-drop simplicity to improve solve business challenges and improve efficiency."
A,PLM System Integration,https://www.sap.com/uk/products/scm/plm-integration.html,"Explore benefits, capabilities, and technical information for ERP and PLM integration."
A,PostgreSQL on SAP BTP - hyperscaler option,https://www.sap.com/uk/products/technology-platform/postgresql-on-sap-btp-hyperscaler-option.html,"Secure and scalable managed PostgreSQL service on hyperscalers for SAP BTP, with high availability, fault tolerance, and flexible database scaling."
A,Procurement expansion package for SAP Cloud ERP | SAP Ariba,https://www.sap.com/uk/products/spend-management/procurement-expansion-package.html,"Streamline P2P with an SAP Business Suite package that includes purchasing and fulfilment, catalogue management, and supplier collaboration capabilities."
A,Public Sector Procurement Solutions | SAP Ariba,https://www.sap.com/uk/products/spend-management/public-sector-procurement-solutions.html,Explore SAP Ariba public sector procurement software and solutions that simplify and inform the buying process from research to purchase.
A,RISE with SAP,https://www.sap.com/uk/products/erp/rise.html,"Discover SAP Rise, the all-in-one cloud ERP solution, enabling business growth and innovation. Elevate your business with SAP's forward-thinking technology."
A,SAP 3D Visual Enterprise,https://www.sap.com/uk/products/scm/product-visualization.html,Accelerate decision making and boost product quality and productivity – with SAP software that integrates 3D visualisation and business data.
A,SAP Absence and Leave Management,https://www.sap.com/uk/products/hcm/leave-absence-management.html,Manage requests for employee leave of absence efficiently with SAP Absence and Leave Management by WorkForce Software.
A,SAP Access Control,https://www.sap.com/uk/products/financial-management/access-control.html,Discover how the SAP Access Control application streamlines managing and validating user access to on-premises financial management applications and data.
A,SAP Access Violation Management by Pathlock,https://www.sap.com/uk/products/financial-management/access-violation-management.html,Enhance regulatory compliance and risk management with SAP Access Violation Management by Pathlock to centralise governance and minimise access violations.
A,SAP Account Substantiation and Automation by BlackLine,https://www.sap.com/uk/products/financial-management/account-substantiation-automation-blackline.html,Streamline financial close cycles with the SAP Account Substantiation and Automation for enhanced compliance and seamless reconciliation workflows.
A,SAP Adaptive Server Enterprise,https://www.sap.com/uk/products/data-cloud/sybase-ase.html,"Drive faster, more reliable online transaction processing (OLTP) for less with SAP Adaptive Server Enterprise. The high-performance SQL database server uses a relational model to power transaction-based application on premise or in the cloud."
A,SAP Advanced Data Migration and Management by Syniti,https://www.sap.com/uk/products/data-cloud/advanced-data-migration-software.html,"Connect, prepare, and validate data prior to loading – and migrate to SAP applications faster – with data migration software and management by Syniti."
A,SAP Advanced Financial Closing,https://www.sap.com/uk/products/financial-management/advanced-financial-closing.html,Transform your finance department through enhanced efficiency and compliance with intelligent automation with the SAP Advanced Financial Closing solution.
A,SAP Advanced Planning and Optimization,https://www.sap.com/uk/products/scm/advanced-planning-optimization.html,Balance supply and demand planning across your global supply chain – with SAP Advanced Planning and Optimisation (SAP APO).
A,SAP Advanced Track and Trace for Pharmaceuticals on SAP S/4HANA,https://www.sap.com/uk/products/scm/track-trace-pharmaceuticals.html,Combat drug counterfeiting to protect your customers and business with serialisation capabilities from SAP Advanced Track and Trace for Pharmaceuticals.
A,SAP Agent Lifecycle Management,https://www.sap.com/uk/products/crm/agent-lifecycle-mgmt.html,"Discover how you can streamline processes, enhance collaboration, and drive agent productivity with SAP Agent Lifecycle Management."
A,SAP Agent Performance Management,https://www.sap.com/uk/products/crm/agent-performance-management.html,"See how SAP Agent Performance Management can help you streamline agent onboarding, compliance, and incentive compensation management."
A,SAP Agricultural Contract Management,https://www.sap.com/uk/products/financial-management/agricultural-contract.html,"Explore SAP’s enhanced contract management application for agricultural commodities, seamlessly integrating data and ensuring compliance for financial accounting."
A,SAP Agricultural Origination Portal,https://www.sap.com/uk/products/scm/agricultural-origination-portal.html,"Enhance experiences for your farmers with SAP Agricultural Origination Portal, which provides quick insight into contracts, deliveries, and more."
A,SAP Analytics Cloud,https://www.sap.com/uk/products/data-cloud/cloud-analytics.html,Learn how cloud analytics technology enables data visualisation and improved business intelligence with SAP Analytics Cloud.
A,SAP Application Interface Framework,https://www.sap.com/uk/products/technology-platform/application-interface-mgmt.html,"Build, deploy, monitor, analyse, and manage your application interfaces from a single, centralised location with the SAP Application Interface Framework tool."
A,SAP Archiving and Document Access by OpenText,https://www.sap.com/uk/products/technology-platform/documents-access-archiving.html,"Store, archive, and retrieve all types of documents used in SAP processes and applications with our archiving and document access software."
A,SAP Ariba Buying and Invoicing,https://www.sap.com/uk/products/spend-management/procure-to-pay.html,"Learn how you can increase visibility, control, and compliance across spend-related processes with procure-to-pay applications from SAP."
A,SAP Ariba Catalog,https://www.sap.com/uk/products/spend-management/ariba-catalog.html,Provide employees with user-friendly procurement catalogue content to help them buy from the right suppliers at the right prices with SAP Ariba Catalog.
A,SAP Ariba Category Management,https://www.sap.com/uk/products/spend-management/category-management-software.html,Explore how SAP Ariba Category Management software digitalises and streamlines category strategies for more efficient category management in procurement.
A,SAP Ariba Central Procurement,https://www.sap.com/uk/products/spend-management/centralized-procurement.html,"Discover how the SAP Ariba Central Procurement solution enhances spend visibility, centralises demand and contract management, and enables a centre-led procurement model."
A,SAP Ariba Contracts,https://www.sap.com/uk/products/spend-management/contract-management-software.html,"AI-powered contract management software from SAP streamlines contracting to boost compliance, reduce risk, improve supplier relationships, and increase savings."
A,SAP Ariba Direct Materials Sourcing,https://www.sap.com/uk/products/spend-management/direct-procurement-software.html,Transform direct procurement with SAP sourcing software. Streamline source-to-contract processes for direct materials through collaboration and efficiency.
A,SAP Ariba Invoice Management,https://www.sap.com/uk/products/spend-management/ariba-invoice-management.html,Electronic invoice management software from SAP can help you eliminate exceptions and enforce compliance to unlock value trapped inside your payables.
A,SAP Ariba Invoicing,https://www.sap.com/uk/products/spend-management/ariba-invoicing.html,"Discover how SAP Ariba Invoicing delivers smart, AI-driven invoice processing automation with a modern user experience to transform accounts payable efficiency."
A,SAP Ariba Snap,https://www.sap.com/uk/products/spend-management/ariba-snap.html,"Start controlling spend in 12 weeks or less with SAP Ariba Snap, a program that offers procurement solutions priced to meet your company’s needs."
A,SAP Ariba Sourcing,https://www.sap.com/uk/products/spend-management/ariba-sourcing.html,"Achieve smarter sourcing with AI, automation, and integration to boost efficiency, make data-driven decisions, and drive better business outcomes."
A,SAP Ariba Supplier Lifecycle and Performance,https://www.sap.com/uk/products/spend-management/supplier-lifecycle.html,"Manage suppliers better, accelerate supplier onboarding, and drive spend to preferred suppliers with supplier lifecycle management tools from SAP."
A,SAP Ariba Supplier Risk,https://www.sap.com/uk/products/spend-management/supplier-risk.html,"Reduce supplier risk, support business continuity, and help buyers make smarter, safer purchasing decisions with the SAP Ariba Supplier Risk solution."
A,SAP Asset Information Workbench,https://www.sap.com/uk/products/data-cloud/asset-information-workbench.html,Use digital twinning to simplify asset master data governance for your organisation with SAP Asset Information Workbench by Prometheus Group.
A,SAP Asset Performance Management,https://www.sap.com/uk/products/scm/apm.html,Keep your business running smoothly by staying on top of asset health with predictive maintenance enabled by SAP Asset Performance Management.
A,SAP Audit Management,https://www.sap.com/uk/products/financial-management/audit-management.html,Automate internal auditing procedures with the SAP Audit Management application. Deliver high-quality GRC results with mobile solutions and data analytics.
A,SAP Batch Release Hub for Life Sciences,https://www.sap.com/uk/products/scm/batch-release-hub.html,"Make data-based batch release decisions with lean, efficient, and streamlined processes, leading to reduced effort and risk in complying with life sciences regulations."
A,SAP Billing and Revenue Innovation Management,https://www.sap.com/uk/products/financial-management/billing-revenue-innovation-management.html,"Use usage- and subscription-based business models with the scalable, automated capabilities of SAP Billing and Revenue Innovation Management (SAP BRIM) solutions."
A,SAP Broker Reconciliation for Commodity Derivatives,https://www.sap.com/uk/products/financial-management/broker-reconciliation-commodity-derivatives.html,"See how SAP's advanced, cloud-based solution automates broker reconciliation in commodity derivatives to improve financial accuracy and reduce risk exposure."
A,SAP Build,https://www.sap.com/uk/products/technology-platform/build.html,"Explore low-code solutions for building apps, automating processes, and creating employee or customer portals. Discover how to benefit from SAP Build."
A,SAP Build Apps,https://www.sap.com/uk/products/technology-platform/low-code-app-builder.html,"Quickly build apps with zero lines of code using SAP Build Apps simple, visual no-code app builder experience."
A,SAP Build Code,https://www.sap.com/uk/products/technology-platform/developer-tools.html,SAP Build Code simplifies development with tools and services designed for extending SAP apps
A,SAP Build Process Automation,https://www.sap.com/uk/products/technology-platform/process-automation.html,SAP Process Automation empowers everyone in your organisation to automate and transform business processes with an easy-to-use no-code experience.
A,SAP Build Process Automation add-on by UiPath,https://www.sap.com/uk/products/technology-platform/process-automation-extensions.html,"Enhance enterprise automation with the foundation add-ons by UiPath, integrated into SAP for seamless end-to-end RPA and AI-driven process execution."
A,SAP Build Work Zone,https://www.sap.com/uk/products/technology-platform/workzone.html,"Improve productivity company-wide by providing a personalised, integrated digital experience across multiple touch points with SAP Work Zone."
A,SAP Business Application Studio,https://www.sap.com/uk/products/technology-platform/business-application-studio.html,SAP Business Application Studio is a cloud-based professional developer tool for building applications and extending SAP solutions.
A,SAP Business ByDesign,https://www.sap.com/uk/products/erp/business-bydesign.html,"Effectively oversee and integrate your operations with SAP Business ByDesign, a flexible cloud-based ERP system tailored for midmarket businesses."
A,SAP Business Data Cloud,https://www.sap.com/uk/products/data-cloud.html,"Discover SAP Business Data Cloud, a comprehensive SaaS solution connecting all your mission-critical data, enabling actionable insights and reliable AI."
A,SAP Business Integrity Screening,https://www.sap.com/uk/products/financial-management/fraud-management.html,See SAP’s cutting-edge fraud detection and prevention solution—SAP Business Integrity Screening—with AI to proactively identify anomalies and mitigate risk.
A,SAP Business Network Asset Collaboration,https://www.sap.com/uk/products/business-network/asset-collaboration.html,Drive resiliency and transparency through collaborative asset definition and maintenance with SAP Business Network Asset Collaboration.
A,SAP Business Network Commerce Automation,https://www.sap.com/uk/products/business-network/commerce-automation.html,Achieve smooth procurement and supplier collaboration across your business with the fully integrated SAP Business Network Commerce Automation solution.
A,SAP Business Network Freight Collaboration,https://www.sap.com/uk/products/business-network/freight-collaboration.html,Learn how SAP Business Network Freight Collaboration streamlines logistics and warehouse operations to enable efficiency and resilience.
A,SAP Business Network Global Track and Trace,https://www.sap.com/uk/products/business-network/global-track-and-trace.html,Learn how SAP Business Network Global Track and Trace enhances supply and delivery assurance with real-time tracking to reduce disruption.
A,SAP Business Network Material Traceability,https://www.sap.com/uk/products/business-network/material-traceability.html,Create a chain of trust across your supply ecosystem with the SAP Business Network Material Traceability solution.
A,SAP Business Network Planning Collaboration,https://www.sap.com/uk/products/business-network/planning-collaboration.html,Learn how you can help assure supply by aligning with trading partners on supply and demand planning with SAP Business Network Planning Collaboration.
A,SAP Business Network Supply Chain Collaboration,https://www.sap.com/uk/products/business-network/supply-chain-collaboration.html,Discover how to connect digitally with trading partners to boost agility and growth with SAP Business Network Supply Chain Collaboration.
A,SAP Business One,https://www.sap.com/uk/products/erp/business-one.html,Gain greater control over your small business with the SAP Business One application. Streamline processes by using ERP software designed to grow with you.
A,SAP Business Planning and Consolidation,https://www.sap.com/uk/products/data-cloud/bpc.html,"Streamline planning and achieve a faster, more accurate close with the SAP Business Planning and Consolidation (SAP BPC) application."
A,SAP BusinessObjects Business Intelligence,https://www.sap.com/uk/products/data-cloud/bi-platform.html,Easily discover and share insights on our BI platform. This scalable information architecture gives all users self-service access to business intelligence.
A,SAP Cash Application,https://www.sap.com/uk/products/financial-management/cash-application.html,SAP Cash Application provides intelligent receivable matching automation that handles manually intensive financial processes.
A,SAP Central Finance Master Data Replication by insightsoftware,https://www.sap.com/uk/products/financial-management/central-finance-master-data.html,"Speed deployments, lower costs, and deliver quality data for your finance operation with SAP Central Finance Data Harmonisation by insightsoftware for SAP S/4HANA."
A,SAP Central Finance Transaction Replication by insightsoftware,https://www.sap.com/uk/products/financial-management/central-finance-transaction-replication.html,"Support a successful, cost-effective implementation of SAP S/4HANA for central finance foundation with SAP Central Finance Transaction Replication."
A,SAP Change Impact Analysis by Tricentis,https://www.sap.com/uk/products/technology-platform/change-impact-analysis.html,"Know the effects of software changes, updates, and upgrades across end-to-end processes with the SAP Change Impact Analysis application by Tricentis."
A,SAP Channel Program Management by Vistex,https://www.sap.com/uk/products/crm/channel-program-management.html,Learn how the SAP Channel Program Management solution by Vistex helps you increase sales and profits with better trade and channel programmes.
A,SAP Cloud Appliance Library,https://www.sap.com/uk/products/technology-platform/cloud-appliance-library.html,"Quickly test, deploy, and use the latest SAP applications in the cloud. SAP Cloud Appliance Library tool provides an online repository of preconfigured virtual appliances to get you up and running in record time."
A,SAP Cloud ERP,https://www.sap.com/uk/products/erp/s4hana.html,"Get started today with our public cloud ERP software solution, SAP S/4HANA Cloud Public Edition. This offering is hosted by SAP and runs on the industry standard so you can quickly get up and running with cloud ERP."
A,SAP Cloud ERP Private,https://www.sap.com/uk/products/erp/s4hana-private-edition.html,"Learn about SAP Cloud ERP Private, our cloud ERP that can be customised to meet all your business needs and hosted by SAP, a hyperscaler, or on your own data centre."
A,SAP Cloud for Energy,https://www.sap.com/uk/products/scm/cloud-for-energy.html,Discover how SAP Cloud for Energy optimizes supply chain management in the energy sector.
A,SAP Cloud Identity Access Governance,https://www.sap.com/uk/products/financial-management/cloud-iam.html,Streamline and simplify identity and access management (IAM) in complex cloud environments with SAP Cloud Identity Access Governance software.
A,SAP Commerce Cloud,https://www.sap.com/uk/products/crm/commerce-cloud.html,"Discover AI-assisted e-commerce software from SAP that drives digital growth and demand, providing unified buying experiences to convert visitors into customers."
A,SAP Commerce Marketplace Management by Mirakl,https://www.sap.com/uk/products/crm/commerce-marketplace-management.html,"Create, launch, and run an online marketplace with the SAP Commerce Marketing Management application by Mirakl, so you can build and expand offerings."
A,SAP Commodity Management,https://www.sap.com/uk/products/scm/commodity-management.html,Achieve accuracy across market conditions and enhance enterprise security with the SAP Commodity Management solution for streamlined procurement and risk management.
A,SAP Complaint Handling,https://www.sap.com/uk/products/scm/complaint-handling.html,"Centralize processes for seamless, end-to-end resolution and improve customer satisfaction with complaint management software from SAP."
A,SAP Content Management Core by OpenText | Content Management,https://www.sap.com/uk/products/technology-platform/content-management-core.html,"Manage unstructured content with SAP Content Management Core by OpenText. Enhance compliance, collaboration, and productivity while streamlining workflows and ensuring secure, scalable content management."
A,SAP Content Stream by Skillsoft,https://www.sap.com/uk/products/hcm/content-stream-skillsoft.html,Help learners meet their goals with an intelligent digital learning experience from SAP Content Stream by Skillsoft.
A,SAP Convergent Mediation by DigitalRoute,https://www.sap.com/uk/products/financial-management/convergent-mediation.html,"Monetize business models with SAP Convergent Mediation by DigitalRoute, which delivers consistent, consolidated, and transparent data to stakeholders."
A,SAP Corporate Serialization,https://www.sap.com/uk/products/scm/corporate-serialization.html,"Enable product lifecycle intelligence with SAP Corporate Serialisation, which provides a unique identifier repository and serial number management."
A,SAP CPQ,https://www.sap.com/uk/products/financial-management/cpq.html,"Discover how SAP CPQ software empowers sales teams with intuitive quote-to-cash management tools for faster, more accurate quotes and strategic decision-making."
A,SAP Crystal Reports,https://www.sap.com/uk/products/data-cloud/crystal-reports.html,"Easily create BI reports for colleagues, customers, and partners in the format of their choice with SAP Crystal Reports."
A,SAP Crystal Server,https://www.sap.com/uk/products/data-cloud/crystal-server.html,"Equip your small business with core business intelligence (BI) tools – including dashboards, data exploration, analytics, and reporting – from SAP Crystal Server software."
A,SAP Crystal Solutions,https://www.sap.com/uk/products/data-cloud/crystal-bi.html,"Improve reports, dashboards, data discovery, and data visualisation with SAP Crystal solutions – affordable business intelligence for small business."
A,SAP Customer Activity Repository applications bundle,https://www.sap.com/uk/products/crm/customer-activity-repository.html,"Collect, cleanse, and centralise customer and point-of-sale data for analysis in real time with SAP Customer Activity Repository applications bundle."
A,"SAP Customer Checkout, cloud edition",https://www.sap.com/uk/products/crm/pos-customer-checkout.html,"SAP Customer Checkout, cloud edition is a point-of-sale solution providing POS management, real-time sales data, ERP integration, loyalty programmes, and coupons."
A,SAP Customer Data Platform,https://www.sap.com/uk/products/data-cloud/customer-data-platform.html,SAP Customer Data Platform and customer data management solutions from SAP provide an enterprise solution for increased conversion rates and enhanced customer experiences.
A,SAP Customer Identity and Access Management,https://www.sap.com/uk/products/technology-platform/customer-identity.html,"SAP CIAM helps protect customer identities and manage consent, delivering secure, scalable, and seamless digital experiences while meeting global privacy regulations."
A,SAP Dairy Management by msg,https://www.sap.com/uk/products/scm/dairy-management.html,Balance incoming milk components and control production processes to detect quantity and value loss with the SAP Dairy Management application by msg.
A,SAP Data Intelligence Cloud,https://www.sap.com/uk/products/data-cloud/data-intelligence.html,Connect data assets and transform them into critical business insights with the SAP Data Intelligence Cloud service.
A,SAP Data Maintenance by Vistex,https://www.sap.com/uk/products/data-cloud/data-maintenance.html,"Make data maintenance for ERP a business priority using software from SAP to manage product, pricing, customer, vendor, and partner data."
A,"SAP Data Quality Management, microservices for location data",https://www.sap.com/uk/products/data-cloud/data-quality-management.html,"Enhance contact data quality by embedding address cleansing, validation, and geocoding into any business process or application interface – with SAP Data Quality Management, microservices for location data."
A,SAP Data Services,https://www.sap.com/uk/products/data-cloud/data-services.html,"Unlock meaning from all of your organisation’s data – structured or unstructured – with SAP Data Services software. Turn your data into a trusted, ever-ready resource with some of the very best functionality for data integration, quality, and cleansing."
A,SAP Datasphere,https://www.sap.com/uk/products/data-cloud/datasphere.html,"SAP Datasphere, a comprehensive data service that enables your business to deliver scalable access to mission-critical data for more impactful decisions."
A,SAP Deskless Worker Experience,https://www.sap.com/uk/products/hcm/deskless-worker-experience.html,Empower frontline deskless workers to stay connected and perform at their best with the SAP Deskless Worker Experience add-on by WorkForce Software.
A,SAP Digital Access,https://www.sap.com/uk/products/financial-management/digital-access.html,Gain visibility into how third-party applications interact with your SAP digital core using document-based measurement.
A,SAP Digital Asset Management Cloud by OpenText,https://www.sap.com/uk/products/crm/digital-asset-management.html,Use rich media to promote your brand and marketing messaging with digital asset management software.
A,SAP Digital Manufacturing,https://www.sap.com/uk/products/scm/digital-manufacturing.html,"Boost the visibility of manufacturing operations management with SAP Digital Manufacturing, a cloud MES based on near real-time data and analytics."
A,SAP Digital Vehicle Suite,https://www.sap.com/uk/products/scm/digital-vehicle-suite.html,"Enhance vehicle operations and management with SAP Digital Vehicle Suite, a suite of solutions that helps create connected and efficient fleets."
A,SAP Document AI,https://www.sap.com/uk/products/artificial-intelligence/ai-foundation-os/document-ai.html,"Automate your document workflows with SAP Document AI, designed to streamline data extraction and reduce manual errors for enhanced productivity."
A,SAP Document and Reporting Compliance,https://www.sap.com/uk/products/financial-management/document-reporting-compliance.html,"Optimise financial reporting and risk management with the SAP Document and Reporting Compliance solution, integrated with Concur Invoice and Expense."
A,"SAP Document and Reporting Compliance, cloud edition, starter option",https://www.sap.com/uk/products/financial-management/document-and-reporting-compliance-cloud-edition-starter-option.html,Enable e-invoice processing and expense receipt validation
A,SAP Document Presentment by OpenText,https://www.sap.com/uk/products/technology-platform/document-presentment.html,Maximise the impact of customer communications by creating documents personalised for each customer with SAP Document Presentment application by OpenText.
A,SAP E-Mobility,https://www.sap.com/uk/products/scm/e-mobility.html,"Build, run, and manage electric vehicle charging networks with integration into end-to-end billing processes on one platform with SAP E-Mobility."
A,SAP Enable Now,https://www.sap.com/uk/products/hcm/enable-now.html,Unleash full power of SAP solutions by providing scalable end-user training tools to quickly build the skills that add the most value to your company.
A,SAP Engagement Cloud,https://www.sap.com/uk/products/crm/engagement-cloud.html,"Learn how Engagement Cloud unifies customer data across CRM, marketing, and service to power personalised, real-time omnichannel engagement."
A,SAP Engineering Control Center,https://www.sap.com/uk/products/scm/engineering-control-center.html,Support product development by integrating business data and design data from authoring tools on a single platform with SAP Engineering Control Center.
A,SAP Enterprise Continuous Testing by Tricentis,https://www.sap.com/uk/products/technology-platform/enterprise-continuous-testing.html,"Streamline testing across SAP and third-party software with advanced automation, AI, and risk-based test plans."
A,SAP Enterprise Data Integrity Testing by Tricentis,https://www.sap.com/uk/products/technology-platform/enterprise-data-testing.html,Automate data testing to maintain data accuracy —wherever your data travels and whatever happens to it on its journey.
A,SAP Enterprise Performance Testing by Tricentis,https://www.sap.com/uk/products/technology-platform/enterprise-performance-testing.html,The SAP Enterprise Performance Testing by Tricentis gives you real-time visibility into enterprise application performance.
A,SAP Enterprise Portfolio and Project Management,https://www.sap.com/uk/products/scm/project-portfolio-management.html,Optimise resources and accelerate time to market with processes and data centralised with the SAP Enterprise Portfolio and Project Management package.
A,SAP Enterprise Service Management,https://www.sap.com/uk/products/crm/enterprise-service-management.html,"Explore SAP Enterprise Service Management capabilities and benefits. See how to drive efficiency, add flexibility, elevate operations with AI."
A,SAP Enterprise Threat Detection,https://www.sap.com/uk/products/financial-management/enterprise-threat-detection.html,"Protect your enterprise with SAP Enterprise Threat Detection, delivering real-time security intelligence to detect, analyse, and neutralize threats."
A,SAP Entitlement Management,https://www.sap.com/uk/products/financial-management/entitlement-management.html,Simplify and automate entitlement management processes and operations for intelligent business models by using the SAP Entitlement Management solution.
